                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
47,0.91459,0.77041,1.1483,0.73758,0.63123,0.69934,0.51819,0.9469,0.78503,1.1888,0.003928,0.003928,0.003928
48,0.90914,0.76071,1.1461,0.73795,0.63281,0.69921,0.52027,0.947,0.78379,1.1875,0.003796,0.003796,0.003796
49,0.90308,0.75156,1.1407,0.74561,0.62526,0.70168,0.52003,0.94768,0.78014,1.1879,0.003664,0.003664,0.003664
50,0.90185,0.74507,1.1405,0.76059,0.61662,0.70137,0.51992,0.94628,0.77992,1.1871,0.003532,0.003532,0.003532
51,0.8946,0.74159,1.1374,0.73859,0.6294,0.70113,0.52112,0.94648,0.77901,1.1881,0.0034,0.0034,0.0034
52,0.8913,0.73177,1.1353,0.75067,0.62336,0.70193,0.52123,0.94623,0.77841,1.1886,0.003268,0.003268,0.003268
53,0.89048,0.72869,1.1305,0.73362,0.63607,0.70177,0.52111,0.94628,0.77799,1.1894,0.003136,0.003136,0.003136
54,0.88495,0.71771,1.1271,0.75405,0.6303,0.70298,0.5217,0.94724,0.77759,1.19,0.003004,0.003004,0.003004
55,0.88507,0.71611,1.1263,0.74655,0.63341,0.70337,0.52194,0.94674,0.77718,1.19,0.002872,0.002872,0.002872
56,0.87493,0.70734,1.1208,0.74363,0.63599,0.70434,0.52183,0.94565,0.77735,1.1887,0.00274,0.00274,0.00274
57,0.8703,0.70062,1.1182,0.75463,0.63016,0.70416,0.52185,0.94543,0.77569,1.189,0.002608,0.002608,0.002608
58,0.86744,0.69703,1.117,0.75444,0.6305,0.70492,0.52277,0.94554,0.77577,1.1893,0.002476,0.002476,0.002476
59,0.86504,0.6902,1.1152,0.75538,0.63336,0.70408,0.52288,0.94525,0.77536,1.1895,0.002344,0.002344,0.002344
60,0.85792,0.68567,1.1121,0.75964,0.62914,0.70397,0.52216,0.94545,0.77467,1.19,0.002212,0.002212,0.002212
61,0.85284,0.67818,1.1111,0.76462,0.62753,0.70393,0.52222,0.94548,0.77416,1.1904,0.00208,0.00208,0.00208
62,0.85214,0.67307,1.1066,0.76679,0.62398,0.70478,0.52175,0.94581,0.77491,1.1909,0.001948,0.001948,0.001948
63,0.84752,0.66681,1.104,0.7647,0.62618,0.70507,0.52171,0.94599,0.77379,1.1915,0.001816,0.001816,0.001816
64,0.84509,0.66092,1.1029,0.76435,0.62511,0.70543,0.52185,0.94598,0.77361,1.192,0.001684,0.001684,0.001684
65,0.8395,0.65878,1.0994,0.7699,0.62396,0.70519,0.52196,0.94606,0.77315,1.1924,0.001552,0.001552,0.001552
66,0.83319,0.59522,1.0801,0.76206,0.62791,0.70498,0.52211,0.94642,0.77231,1.1929,0.00142,0.00142,0.00142
67,0.82028,0.57772,1.0701,0.76055,0.62835,0.70423,0.52246,0.94606,0.77149,1.1927,0.001288,0.001288,0.001288
68,0.81644,0.57145,1.0689,0.76,0.62663,0.70436,0.522,0.94604,0.77069,1.1934,0.001156,0.001156,0.001156
69,0.81026,0.56444,1.0633,0.7488,0.63269,0.70446,0.52222,0.94607,0.77032,1.1938,0.001024,0.001024,0.001024
70,0.80722,0.55526,1.0598,0.74874,0.63151,0.70465,0.52261,0.94613,0.77004,1.194,0.000892,0.000892,0.000892
71,0.8024,0.55163,1.0597,0.73924,0.6387,0.70485,0.52318,0.94672,0.76998,1.1949,0.00076,0.00076,0.00076
72,0.7971,0.5437,1.0555,0.74423,0.63603,0.70493,0.52335,0.94715,0.77024,1.1954,0.000628,0.000628,0.000628
73,0.79323,0.54107,1.0534,0.74307,0.63779,0.70487,0.52338,0.94768,0.77058,1.196,0.000496,0.000496,0.000496
74,0.7909,0.53409,1.0507,0.74467,0.63628,0.70487,0.52366,0.9476,0.77048,1.1962,0.000364,0.000364,0.000364
75,0.78812,0.53122,1.0473,0.74321,0.63702,0.70499,0.52338,0.94826,0.7708,1.1968,0.000232,0.000232,0.000232
